C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_24_275.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_24_275.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_24_275.jpg,0,1,0,30.19029
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_24_349.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_24_349.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_24_349.jpg,0,1,0,30.19028
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_24_420.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_24_420.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_24_420.jpg,0,1,0,30.19031
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_24_497.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_24_497.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_24_497.jpg,-0.2,1,0,30.17983
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_24_597.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_24_597.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_24_597.jpg,0,1,0,30.19012
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_24_668.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_24_668.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_24_668.jpg,0,1,0,30.19028
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_24_747.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_24_747.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_24_747.jpg,0,1,0,30.1903
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_24_824.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_24_824.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_24_824.jpg,0,1,0,30.1903
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_24_901.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_24_901.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_24_901.jpg,-0.15,1,0,30.18446
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_24_976.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_24_976.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_24_976.jpg,-0.35,1,0,30.16367
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_25_048.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_25_048.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_25_048.jpg,0,1,0,30.18951
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_25_153.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_25_153.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_25_153.jpg,0,1,0,30.19016
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_25_289.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_25_289.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_25_289.jpg,0,1,0,30.19028
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_25_406.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_25_406.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_25_406.jpg,0,1,0,30.19031
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_25_476.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_25_476.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_25_476.jpg,0,1,0,30.19031
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_25_544.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_25_544.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_25_544.jpg,0,1,0,30.19028
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_25_673.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_25_673.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_25_673.jpg,0,1,0,30.19029
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_25_746.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_25_746.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_25_746.jpg,-0.2,1,0,30.17983
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_25_822.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_25_822.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_25_822.jpg,-0.35,1,0,30.16343
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_25_938.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_25_938.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_25_938.jpg,0,1,0,30.1898
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_26_020.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_26_020.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_26_020.jpg,-0.2,1,0,30.18287
C:\Users\KIIT\Desktop\last_try\IMG\center_2020_01_02_16_02_26_098.jpg,C:\Users\KIIT\Desktop\last_try\IMG\left_2020_01_02_16_02_26_098.jpg,C:\Users\KIIT\Desktop\last_try\IMG\right_2020_01_02_16_02_26_098.jpg,0,1,0,30.19007
